GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agrix,com.betrybe.agrix.ebytr.staff.advice,HandlerErrosAdvice,6,3,0,0,1,1,1,1,1,1
agrix,com.betrybe.agrix.ebytr.staff.security,SecurityFilter,0,54,0,4,0,17,0,5,0,3
agrix,com.betrybe.agrix.ebytr.staff.security,Role,0,35,0,0,0,8,0,3,0,3
agrix,com.betrybe.agrix.ebytr.staff.security,SecurityConfig,0,89,0,0,0,18,0,6,0,6
agrix,com.betrybe.agrix.ebytr.staff.controllers,FarmController,103,21,0,0,22,9,6,2,6,2
agrix,com.betrybe.agrix.ebytr.staff.controllers,AuthController,0,38,0,0,0,11,0,2,0,2
agrix,com.betrybe.agrix.ebytr.staff.controllers,CropController,46,21,0,0,12,8,3,2,3,2
agrix,com.betrybe.agrix.ebytr.staff.controllers,PersonController,0,22,0,0,0,6,0,2,0,2
agrix,com.betrybe.agrix.ebytr.staff.controllers,FertilizerController,33,18,0,0,8,7,3,2,3,2
agrix,com.betrybe.agrix.ebytr.staff.service,FertilizerService,21,13,2,0,5,5,3,2,2,2
agrix,com.betrybe.agrix.ebytr.staff.service,PersonService,16,27,2,0,4,7,2,3,1,3
agrix,com.betrybe.agrix.ebytr.staff.service,CropService,45,10,0,0,12,4,5,2,5,2
agrix,com.betrybe.agrix.ebytr.staff.service,FarmService,21,10,2,0,5,4,3,2,2,2
agrix,com.betrybe.agrix.ebytr.staff.service,TokenService,0,39,0,0,0,16,0,4,0,4
agrix,com.betrybe.agrix.ebytr.staff.exceptions,PersonNotFoundException,4,0,0,0,2,0,1,0,1,0
agrix,com.betrybe.agrix.ebytr.staff.exceptions,CustomException,4,0,0,0,2,0,1,0,1,0
agrix,com.betrybe.agrix.ebytr.staff.controllers.response,LoginResponseDtop,0,6,0,0,0,1,0,1,0,1
agrix,com.betrybe.agrix.ebytr.staff.controllers.response,PersonResponse,12,24,0,0,6,8,3,4,3,4
agrix,com.betrybe.agrix.ebytr.staff.controllers.dto,CropDto,64,0,0,0,14,0,3,0,3,0
agrix,com.betrybe.agrix.ebytr.staff.controllers.dto,FarmDto,23,0,0,0,2,0,2,0,2,0
agrix,com.betrybe.agrix.ebytr.staff.controllers.dto,FertilizreDto,27,0,0,0,2,0,2,0,2,0
agrix,com.betrybe.agrix.ebytr.staff.controllers.dto,PersonDto,0,27,0,0,0,2,0,2,0,2
agrix,com.betrybe.agrix.ebytr.staff.controllers.dto,AuthDto,0,9,0,0,0,1,0,1,0,1
agrix,com.betrybe.agrix,AgrixApplication,8,3,0,0,3,1,1,1,1,1
agrix,com.betrybe.agrix.ebytr.staff.models.entities,Fertilizer,50,3,0,0,21,2,11,1,11,1
agrix,com.betrybe.agrix.ebytr.staff.models.entities,Crop,64,3,0,0,27,2,15,1,15,1
agrix,com.betrybe.agrix.ebytr.staff.models.entities,Person,57,49,14,0,14,20,11,13,4,13
agrix,com.betrybe.agrix.ebytr.staff.models.entities,Farm,43,3,0,0,18,2,9,1,9,1
